"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","Class"
"45",0.257428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729428571428572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00514285714285714,0
"47",0.681725681725682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315934065934066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00234025234025234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"48",0.8248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"49",0.78265306122449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211020408163265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00448979591836735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00183673469387755,1
"52",0.107111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.798222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711111111111111,0
"54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481618437900128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497843790012804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205377720870679,0
"58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950534759358289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101604278074866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393048128342246,0
"59",6e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1413,0
"60",0.000661654135338346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909533834586466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0628571428571429,0
